epoch,dice,iou,loss,lr,val_dice,val_iou,val_loss
0,0.16527190804481506,0.09007978439331055,0.5831716656684875,1e-04,0.22707341611385345,0.12807829678058624,0.5601293444633484
1,0.8959881067276001,0.8115746974945068,0.4387812614440918,1e-04,0.23343655467033386,0.1321416199207306,0.561958909034729
0,0.2691631317138672,0.15551039576530457,0.5327521562576294,1e-04,0.1484864354133606,0.08019732683897018,0.6184656023979187
1,0.4783255159854889,0.31434154510498047,0.4158687889575958,1e-04,0.4992881417274475,0.3327008783817291,0.3784557580947876
2,0.5514479875564575,0.3806891441345215,0.3324270248413086,1e-04,0.44156232476234436,0.2833365201950073,0.3730613887310028
3,0.5900648236274719,0.418504923582077,0.27895280718803406,1e-04,0.5803573131561279,0.4088051915168762,0.2754843235015869
4,0.6241452097892761,0.45364177227020264,0.24285466969013214,1e-04,0.5792556405067444,0.40771278738975525,0.26315194368362427
5,0.648262619972229,0.47957733273506165,0.22082997858524323,1e-04,0.6299318671226501,0.4597814083099365,0.23326312005519867
6,0.6661928296089172,0.4994671046733856,0.2066645473241806,1e-04,0.7060097455978394,0.5456067323684692,0.1862117350101471
7,0.6722677946090698,0.5063278675079346,0.20120331645011902,1e-04,0.7056207656860352,0.5451422333717346,0.18322919309139252
8,0.68232262134552,0.5178222060203552,0.19286468625068665,1e-04,0.6766974925994873,0.5113701820373535,0.19798588752746582
9,0.6983510851860046,0.5365126729011536,0.18215374648571014,1e-04,0.6991474628448486,0.537453293800354,0.18468701839447021
10,0.7074070572853088,0.5472775101661682,0.17684173583984375,1e-04,0.7467583417892456,0.5958614349365234,0.15688566863536835
11,0.7104313373565674,0.5509061217308044,0.17390070855617523,1e-04,0.6913491487503052,0.5282915234565735,0.18865203857421875
12,0.7238576412200928,0.5672232508659363,0.167984277009964,1e-04,0.736914336681366,0.583423912525177,0.16190996766090393
13,0.7197532057762146,0.5621987581253052,0.16885609924793243,1e-04,0.7233731746673584,0.5666285157203674,0.17377790808677673
14,0.724619448184967,0.5681594014167786,0.1637682020664215,1e-04,0.7204058170318604,0.5629955530166626,0.17215628921985626
15,0.7439090013504028,0.5922412872314453,0.15445619821548462,1e-04,0.7500215172767639,0.6000275611877441,0.15503975749015808
16,0.741686224937439,0.589428722858429,0.156637504696846,1e-04,0.44406330585479736,0.28539934754371643,0.35199692845344543
17,0.743434488773346,0.591640055179596,0.15452763438224792,1e-04,0.7447574138641357,0.5933175086975098,0.15698876976966858
18,0.7488422393798828,0.5985194444656372,0.15074431896209717,1e-04,0.7426714301109314,0.590674102306366,0.15917596220970154
19,0.7528409361839294,0.6036447286605835,0.15007178485393524,1e-04,0.6965955495834351,0.5344431400299072,0.1809219866991043
20,0.756361722946167,0.6081846356391907,0.14751948416233063,1e-04,0.7470685839653015,0.5962565541267395,0.15608187019824982
21,0.7754442095756531,0.6332453489303589,0.13397471606731415,5e-05,0.7768759727478027,0.6351571083068848,0.13604983687400818
22,0.7806326746940613,0.6401948928833008,0.13243114948272705,5e-05,0.7801169753074646,0.6395015120506287,0.13410800695419312
23,0.7886258959770203,0.6510176062583923,0.1271183341741562,5e-05,0.7533489465713501,0.6042981743812561,0.14732620120048523
24,0.7855657339096069,0.6468573212623596,0.1304778754711151,5e-05,0.7994630336761475,0.6659212708473206,0.12426651269197464
25,0.7894756197929382,0.652176558971405,0.12811556458473206,5e-05,0.7545580863952637,0.6058557033538818,0.15022096037864685
26,0.7936205863952637,0.6578532457351685,0.12495803833007812,5e-05,0.7726966142654419,0.6295889019966125,0.13703352212905884
27,0.7942282557487488,0.6586887240409851,0.1247924268245697,5e-05,0.785229504108429,0.6464015245437622,0.13229674100875854
28,0.8011025190353394,0.668199360370636,0.12118025124073029,5e-05,0.7977663278579712,0.6635701656341553,0.12517595291137695
29,0.8012458682060242,0.6683987975120544,0.12159419059753418,5e-05,0.7913506031036377,0.6547395586967468,0.12726990878582
30,0.8066877126693726,0.6760072112083435,0.11702309548854828,2.5e-05,0.8021544814109802,0.6696644425392151,0.12012732774019241
31,0.8120059967041016,0.6835101246833801,0.11478551477193832,2.5e-05,0.8103246688842773,0.6811309456825256,0.11682485044002533
32,0.8189939856529236,0.6934714317321777,0.11038979887962341,2.5e-05,0.8017714619636536,0.6691306829452515,0.12214656919240952
33,0.8219010233879089,0.6976502537727356,0.10892821848392487,2.5e-05,0.8015990853309631,0.6688905358314514,0.12258263677358627
